id,param
1,"{""a"": -28176.535866420374, ""b"": -47858.76242919686, ""c"": 3828473.168672663}"
2,"{""a"": -50120.18821055339, ""b"": -42380.22017015363, ""c"": 5116806.820655881}"
3,"{""a"": -24319.615589454643, ""b"": -17803.64435369462, ""c"": 2375057.4856988527}"
4,"{""a"": 37492.342862176985, ""b"": 19171.621981438744, ""c"": -3327296.5365647143}"
5,"{""a"": 8909.992010014446, ""b"": 33507.7814275025, ""c"": -1933733.1106372834}"
6,"{""a"": 19510.36044034125, ""b"": 27957.288707346288, ""c"": -2441357.0758151994}"
7,"{""a"": 44623.66832364362, ""b"": 21940.376420527675, ""c"": -3926174.412751915}"
8,"{""a"": 31563.800603595337, ""b"": 22881.245561134285, ""c"": -3067422.9242286286}"
9,"{""a"": -10227.272727176984, ""b"": 153.80859374453212, ""c"": 698728.7733423694}"
10,"{""a"": -33098.73046865575, ""b"": -33884.15305412288, ""c"": 3614298.5799553473}"
11,"{""a"": -20312.202592361777, ""b"": -50035.054154834645, ""c"": 3375802.3868376855}"
12,"{""a"": -6571.621981581694, ""b"": -58467.28071731683, ""c"": 2766497.3336708657}"
13,"{""a"": -18494.18501428193, ""b"": -48115.6427555846, ""c"": 3175171.539851873}"
14,"{""a"": -41688.00159794688, ""b"": -19839.271129392764, ""c"": 3648350.566423668}"
15,"{""a"": -46279.64754977729, ""b"": -4886.1993963372515, ""c"": 3372000.4424603595}"
16,"{""a"": 5833.6603338343175, ""b"": -8818.346058221743, ""c"": -48952.42745394942}"
17,"{""a"": 56459.459339295376, ""b"": -27158.722478644253, ""c"": -2798068.1779505424}"
18,"{""a"": 39519.81977975094, ""b"": -49298.77041877023, ""c"": -759682.5178217603}"
19,"{""a"": 9664.333274127874, ""b"": -58742.21857227603, ""c"": 1663071.8923564788}"
20,"{""a"": -19327.068536932464, ""b"": -53186.772017138064, ""c"": 3433336.8929702383}"
21,"{""a"": 36567.813387712784, ""b"": -33278.78639916773, ""c"": -1190972.2419876123}"
22,"{""a"": 19106.183416239808, ""b"": -28728.04953843198, ""c"": -172278.02799298955}"
23,"{""a"": 31342.915482998833, ""b"": -54121.129261567636, ""c"": -7932.675465495597}"
24,"{""a"": 4858.354048242299, ""b"": -51537.30468750706, ""c"": 1708123.3994734774}"
25,"{""a"": -45476.16743593397, ""b"": -42674.773615146296, ""c"": 4813366.840808311}"
26,"{""a"": -22066.37961670942, ""b"": -49874.73366473238, ""c"": 3490848.983013278}"
27,"{""a"": -13378.91068888726, ""b"": -54291.277521448006, ""c"": 3069037.152962956}"
28,"{""a"": -11235.258345246155, ""b"": -44492.751242815124, ""c"": 2534269.23462662}"
29,"{""a"": -20168.181818077665, ""b"": 600.5326704913678, ""c"": 1364054.6558973752}"
30,"{""a"": -23709.295099662868, ""b"": 23607.821377903514, ""c"": 697195.1665394915}"
31,"{""a"": -18898.322088189623, ""b"": -436.8963067713921, ""c"": 1317871.0339198413}"
32,"{""a"": 15185.422585267548, ""b"": -22002.539062497726, ""c"": -169918.51461800156}"
33,"{""a"": -4694.717684639298, ""b"": -11387.428977217254, ""c"": 775597.0135351535}"
34,"{""a"": -43001.966441840625, ""b"": -5064.537464468507, ""c"": 3156596.4465544983}"
35,"{""a"": 29989.599609340792, ""b"": -19984.929865029466, ""c"": -1266817.6456896514}"
36,"{""a"": 25051.10529122908, ""b"": -26360.196200336635, ""c"": -675423.4379054388}"
37,"{""a"": 15640.336470507442, ""b"": -3141.8101918213324, ""c"": -947351.5753437082}"
38,"{""a"": 37255.11807549113, ""b"": 21765.274324966573, ""c"": -3417384.9883328504}"
39,"{""a"": 29827.601207556214, ""b"": 19894.92187490149, ""c"": -2833139.5049682655}"
40,"{""a"": -14827.068536878263, ""b"": 21804.545454508374, ""c"": 159208.17177291177}"
41,"{""a"": -45150.53267030414, ""b"": 24447.256746914267, ""c"": 2138064.1669249544}"
42,"{""a"": -20773.668324137503, ""b"": -273.2599430530536, ""c"": 1440966.4973725656}"
43,"{""a"": 15721.508789121519, ""b"": -24252.539062539545, ""c"": -118192.47576136167}"
44,"{""a"": -522.0027043029362, ""b"": -20884.88991476541, ""c"": 864773.6048001203}"
45,"{""a"": 18476.299579402636, ""b"": -21642.507102436877, ""c"": -410793.78644139244}"
46,"{""a"": -28230.548650518493, ""b"": 50854.95383519843, ""c"": -72210.35231938295}"
47,"{""a"": -30691.606001637698, ""b"": 26001.84215213109, ""c"": 1079552.5240626656}"
48,"{""a"": -30359.459339512214, ""b"": -11963.472123564447, ""c"": 2558341.17845117}"
49,"{""a"": 6457.084517048358, ""b"": -11863.636363615191, ""c"": 29058.892144293663}"
50,"{""a"": 20555.979225904764, ""b"": -6810.524680420975, ""c"": -1137916.846588041}"
51,"{""a"": 21210.52468036469, ""b"": -14606.183416195301, ""c"": -874490.6999210785}"
52,"{""a"": 38853.84854388245, ""b"": -4519.615589403591, ""c"": -2483784.636883718}"
53,"{""a"": 34545.290305308095, ""b"": -2672.154651986224, ""c"": -2261266.9269681545}"
54,"{""a"": 21469.082919024426, ""b"": -14622.563032597594, ""c"": -891487.2828890703}"
55,"{""a"": -13935.298295382952, ""b"": -31444.38920457834, ""c"": 2202953.814627071}"
56,"{""a"": -28714.90589487051, ""b"": -26054.21697444055, ""c"": 3003850.814774204}"
57,"{""a"": -29384.153053902748, ""b"": 13593.24396304912, ""c"": 1481671.2841420353}"
58,"{""a"": -42527.47691787146, ""b"": 50087.42897746565, ""c"": 940178.7758112871}"
59,"{""a"": -31601.433771037042, ""b"": 35757.781427401445, ""c"": 757155.3098853151}"
60,"{""a"": -42255.854936118994, ""b"": 6694.349254249042, ""c"": 2637816.3559546773}"
61,"{""a"": 24558.55823856978, ""b"": -12122.194602197174, ""c"": -1203376.644973561}"
62,"{""a"": 68298.56622850189, ""b"": -24345.822975837393, ""c"": -3721886.43435247}"
63,"{""a"": 49673.464133448804, ""b"": -24198.526278127538, ""c"": -2449375.713296189}"
64,"{""a"": 28299.263139185878, ""b"": -43543.65234364647, ""c"": -217167.91888154237}"
65,"{""a"": -17131.081321306734, ""b"": -69930.01597993998, ""c"": 3944837.7128144735}"
66,"{""a"": 6977.43696727325, ""b"": -62443.612393492615, ""c"": 1993829.6368512907}"
67,"{""a"": 33997.09250727492, ""b"": -52294.88192487449, ""c"": -262391.9805020709}"
68,"{""a"": 41738.73845904316, ""b"": -52188.534268737305, ""c"": -798065.368741064}"
69,"{""a"": -7632.022371938963, ""b"": -52677.80539782575, ""c"": 2610760.0053487797}"
70,"{""a"": -49319.98401977369, ""b"": -45206.143466027665, ""c"": 5177398.170973075}"
71,"{""a"": -33352.374822665035, ""b"": -22876.371626412576, ""c"": 3197901.489555714}"
72,"{""a"": -24712.366832380023, ""b"": 4159.623579411782, ""c"": 1535352.0905366351}"
73,"{""a"": -30698.197798404755, ""b"": 25157.492897697957, ""c"": 1115884.2681416546}"
74,"{""a"": -23421.25355115631, ""b"": 2780.2201704986874, ""c"": 1501231.602860508}"
75,"{""a"": -8802.00639221652, ""b"": -31881.285511343573, ""c"": 1868202.5670941395}"
76,"{""a"": -6393.243963025604, ""b"": -35248.934659145096, ""c"": 1835975.4074477279}"
77,"{""a"": -2362.939453155713, ""b"": -8640.007990068283, ""c"": 506769.8749415277}"
78,"{""a"": -24131.44975144913, ""b"": 17729.976029906473, ""c"": 958890.1580855306}"
79,"{""a"": -4146.519886389852, ""b"": -8011.629971641835, ""c"": 604353.7992425399}"
80,"{""a"": 30073.05575276398, ""b"": -32030.140269828444, ""c"": -796130.2747883775}"
81,"{""a"": 27931.121271331725, ""b"": -28618.34605828664, ""c"": -783940.7497168304}"
82,"{""a"": -7218.017578243532, ""b"": -31858.393998456966, ""c"": 1758713.3759188214}"
83,"{""a"": 26890.376420646753, ""b"": -23542.382812631062, ""c"": -913312.8677392878}"
84,"{""a"": 21832.31090218594, ""b"": -3311.998402097961, ""c"": -1365961.4608080147}"
85,"{""a"": -29649.223188798343, ""b"": 17595.822975760457, ""c"": 1344013.9184578226}"
86,"{""a"": -21136.89630655166, ""b"": 5761.629971495182, ""c"": 1227226.435632226}"
