id,param
1,"{""X"": [[68.58736111111111, 39.55152777777778], [68.58319444444444, 39.55152777777778], [68.58319444444444, 39.55569444444445], [68.58736111111111, 39.55569444444445]], ""w"": [-632071.7323548542, 632071.7323540418, -632071.7323554504, 632071.7323562626], ""a"": [3244220.66914244, -33985.19531265964, -23017.207031224818]}"
2,"{""X"": [[68.59152777777777, 39.55152777777778], [68.58736111111111, 39.55152777777778], [68.58736111111111, 39.55569444444445], [68.59152777777777, 39.55569444444445]], ""w"": [-877630.211799309, 877630.2118005409, -877630.2117984048, 877630.211797173], ""a"": [2879671.076500394, -33703.212890505005, -14289.580078100258]}"
3,"{""X"": [[68.59569444444443, 39.55152777777778], [68.59152777777777, 39.55152777777778], [68.59152777777777, 39.55569444444445], [68.59569444444443, 39.55569444444445]], ""w"": [-3271803.8484141678, 3271803.8484130874, -3271803.8484149603, 3271803.84841604], ""a"": [-1987418.110821962, 23421.591796805693, 9698.408203101722]}"
4,"{""X"": [[68.59986111111111, 39.55152777777778], [68.59569444444443, 39.55152777777778], [68.59569444444443, 39.55569444444445], [68.59986111111111, 39.55569444444445]], ""w"": [1030403.009652222, -1030403.0096547605, 1030403.0096503579, -1030403.0096478196], ""a"": [-1757790.0852270788, 12602.431640537112, 22656.00585936354]}"
5,"{""X"": [[68.60402777777777, 39.55152777777778], [68.59986111111111, 39.55152777777778], [68.59986111111111, 39.55569444444445], [68.60402777777777, 39.55569444444445]], ""w"": [-1278039.2721231196, 1278039.2721240146, -1278039.272122463, 1278039.2721215682], ""a"": [-3239450.2100606556, 33375.585937798685, 24087.597656195598]}"
6,"{""X"": [[68.60819444444444, 39.55152777777778], [68.60402777777777, 39.55152777777778], [68.60402777777777, 39.55569444444445], [68.60819444444444, 39.55569444444445]], ""w"": [218988.19549178035, -218988.19549311354, 218988.19549080112, -218988.19548946805], ""a"": [-3128275.7899200805, 28225.195312703385, 30209.999999931057]}"
7,"{""X"": [[68.61236111111111, 39.55152777777778], [68.60819444444444, 39.55152777777778], [68.60819444444444, 39.55569444444445], [68.61236111111111, 39.55569444444445]], ""w"": [7062556.8126825, -7062556.812684282, 7062556.812681192, -7062556.81267941], ""a"": [633748.6077414827, -2340.000000111953, -11884.804687567801]}"
8,"{""X"": [[68.61652777777778, 39.55152777777778], [68.61236111111111, 39.55152777777778], [68.61236111111111, 39.55569444444445], [68.61652777777778, 39.55569444444445]], ""w"": [655935.8305745143, -655935.8305742001, 655935.8305747452, -655935.8305750593], ""a"": [4113697.7759295525, -27336.005859568948, -56505.6152341874]}"
9,"{""X"": [[68.62069444444444, 39.55152777777778], [68.61652777777778, 39.55152777777778], [68.61652777777778, 39.55569444444445], [68.62069444444444, 39.55569444444445]], ""w"": [-2783590.7180301715, 2783590.718029302, -2783590.718030809, 2783590.718031678], ""a"": [3612200.7879104964, -27117.597656093487, -44205.58593745093]}"
10,"{""X"": [[68.6248611111111, 39.55152777777778], [68.62069444444444, 39.55152777777778], [68.62069444444444, 39.55569444444445], [68.6248611111111, 39.55569444444445]], ""w"": [-2287476.9443474, 2287476.9443444954, -2287476.9443495357, 2287476.9443524405], ""a"": [2580117.692814679, -28975.19531261177, -14889.609375231534]}"
11,"{""X"": [[68.62902777777778, 39.55152777777778], [68.6248611111111, 39.55152777777778], [68.6248611111111, 39.55569444444445], [68.62902777777778, 39.55569444444445]], ""w"": [272128.7633521056, -272128.76335124165, 272128.7633527406, -272128.7633536045], ""a"": [2600293.88529606, -35984.4140622887, -3238.8281249921224]}"
12,"{""X"": [[68.63319444444444, 39.55152777777778], [68.62902777777778, 39.55152777777778], [68.62902777777778, 39.55569444444445], [68.63319444444444, 39.55569444444445]], ""w"": [1762106.9720189762, -1762106.9720186766, 1762106.9720191963, -1762106.972019496], ""a"": [-1135149.9289907326, 25222.822265762887, -14998.798828182946]}"
13,"{""X"": [[68.6373611111111, 39.55152777777778], [68.63319444444444, 39.55152777777778], [68.63319444444444, 39.55569444444445], [68.6373611111111, 39.55569444444445]], ""w"": [1413799.5879900435, -1413799.587989572, 1413799.5879903901, -1413799.5879908616], ""a"": [-1801647.193487206, 45514.77539071866, -33358.798827833256]}"
14,"{""X"": [[68.64152777777777, 39.55152777777778], [68.6373611111111, 39.55152777777778], [68.6373611111111, 39.55569444444445], [68.64152777777777, 39.55569444444445]], ""w"": [1789923.925776268, -1789923.9257725042, 1789923.925773739, -1789923.9257775028], ""a"": [727128.6622968779, 19345.19531259799, -51879.60937476685]}"
15,"{""X"": [[68.64569444444444, 39.55152777777778], [68.64152777777777, 39.55152777777778], [68.64152777777777, 39.55569444444445], [68.64569444444444, 39.55569444444445]], ""w"": [-1920697.5623578862, 1920697.5623591896, -1920697.5623569277, 1920697.5623556245], ""a"": [2568833.0122429775, -7921.201171952859, -51123.603515678566]}"
16,"{""X"": [[68.64986111111111, 39.55152777777778], [68.64569444444444, 39.55152777777778], [68.64569444444444, 39.55569444444445], [68.64986111111111, 39.55569444444445]], ""w"": [133059.1979845962, -133059.19798252068, 133059.19798612277, -133059.19798819808], ""a"": [-447424.53108195774, 30063.63281271621, -40789.21875009728]}"
17,"{""X"": [[68.65402777777777, 39.55152777777778], [68.64986111111111, 39.55152777777778], [68.64986111111111, 39.55569444444445], [68.65402777777777, 39.55569444444445]], ""w"": [2519342.326838231, -2519342.326839213, 2519342.3268375094, -2519342.326836528], ""a"": [83124.9167739056, 31169.970703192736, -56122.822265470444]}"
18,"{""X"": [[68.65819444444443, 39.55152777777778], [68.65402777777777, 39.55152777777778], [68.65402777777777, 39.55569444444445], [68.65819444444443, 39.55569444444445]], ""w"": [-1349656.9056114217, 1349656.9056132096, -1349656.9056101062, 1349656.9056083185], ""a"": [3723663.38514378, -17961.562500152108, -62884.80468753795]}"
19,"{""X"": [[68.66236111111111, 39.55152777777778], [68.65819444444443, 39.55152777777778], [68.65819444444443, 39.55569444444445], [68.66236111111111, 39.55569444444445]], ""w"": [42138.453292182116, -42138.45329458772, 42138.45329041196, -42138.4532880066], ""a"": [4395487.657115084, -32101.20117196671, -55326.00585896922]}"
20,"{""X"": [[68.66652777777777, 39.55152777777778], [68.66236111111111, 39.55152777777778], [68.66236111111111, 39.55569444444445], [68.66652777777777, 39.55569444444445]], ""w"": [-1606633.0562119733, 1606633.0562160092, -1606633.0562090036, 1606633.0562049681], ""a"": [3400591.7010653745, -22821.62109354859, -46281.6210936703]}"
21,"{""X"": [[68.67069444444444, 39.55152777777778], [68.66652777777777, 39.55152777777778], [68.66652777777777, 39.55569444444445], [68.67069444444444, 39.55569444444445]], ""w"": [-4583477.866725858, 4583477.866720443, -4583477.866729846, 4583477.866735262], ""a"": [1805443.4828825986, -20204.41406290821, -10496.425781490565]}"
22,"{""X"": [[68.6748611111111, 39.55152777777778], [68.67069444444444, 39.55152777777778], [68.67069444444444, 39.55569444444445], [68.6748611111111, 39.55569444444445]], ""w"": [1536474.9385920528, -1536474.9385939538, 1536474.9385906535, -1536474.9385887529], ""a"": [411154.215345691, -10046.3671876464, 7118.378906158826]}"
23,"{""X"": [[68.67902777777778, 39.55152777777778], [68.6748611111111, 39.55152777777778], [68.6748611111111, 39.55569444444445], [68.67902777777778, 39.55569444444445]], ""w"": [2829666.823530218, -2829666.8235340496, 2829666.823527398, -2829666.8235235675], ""a"": [2277296.22040398, -22682.402343954916, -18122.40234385529]}"
24,"{""X"": [[68.68319444444444, 39.55152777777778], [68.67902777777778, 39.55152777777778], [68.67902777777778, 39.55569444444445], [68.68319444444444, 39.55569444444445]], ""w"": [-4129092.057568192, 4129092.0575710596, -4129092.057566082, 4129092.0575632155], ""a"": [-317719.9041207519, 10775.976562691567, -10610.390624847489]}"
25,"{""X"": [[68.6873611111111, 39.55152777777778], [68.68319444444444, 39.55152777777778], [68.68319444444444, 39.55569444444445], [68.6873611111111, 39.55569444444445]], ""w"": [3736568.437190245, -3736568.4371794374, 3736568.437187139, -3736568.4371979455], ""a"": [1938768.1980880327, -23384.384765354553, -8341.201171430599]}"
26,"{""X"": [[68.69152777777776, 39.55152777777778], [68.6873611111111, 39.55152777777778], [68.6873611111111, 39.55569444444445], [68.69152777777776, 39.55569444444445]], ""w"": [-69955.40708575814, 69955.40708617958, -69955.40708544772, 69955.40708502632], ""a"": [-528716.1746972707, 24745.195312521217, -29537.988281327867]}"
27,"{""X"": [[68.69569444444444, 39.55152777777778], [68.69152777777776, 39.55152777777778], [68.69152777777776, 39.55569444444445], [68.69569444444444, 39.55569444444445]], ""w"": [-2576841.171275014, 2576841.171272425, -2576841.171276922, 2576841.171279511], ""a"": [-951845.709053649, 22094.384765392246, -14236.787109379713]}"
28,"{""X"": [[68.6998611111111, 39.55152777777778], [68.69569444444444, 39.55152777777778], [68.69569444444444, 39.55569444444445], [68.6998611111111, 39.55569444444445]], ""w"": [-2096513.4808405617, 2096513.4808413931, -2096513.4808399496, 2096513.4808391184], ""a"": [-1951214.757479874, 21086.425781530368, 12779.999999950653]}"
29,"{""X"": [[68.70402777777777, 39.55152777777778], [68.6998611111111, 39.55152777777778], [68.6998611111111, 39.55569444444445], [68.70402777777777, 39.55569444444445]], ""w"": [48782.291253668525, -48782.29125219595, 48782.291254753654, -48782.29125622607], ""a"": [-2650361.9832531814, 24447.59765609457, 24617.988281345275]}"
30,"{""X"": [[68.70819444444443, 39.55152777777778], [68.70402777777777, 39.55152777777778], [68.70402777777777, 39.55569444444445], [68.70819444444443, 39.55569444444445]], ""w"": [407052.8982917713, -407052.8982911132, 407052.8982922562, -407052.8982929142], ""a"": [2004659.2566569815, -41790.00000021379, 21982.79296870781]}"
31,"{""X"": [[68.71236111111111, 39.55152777777778], [68.70819444444443, 39.55152777777778], [68.70819444444443, 39.55569444444445], [68.71236111111111, 39.55569444444445]], ""w"": [4012021.653394033, -4012021.653389511, 4012021.653397367, -4012021.6534018884], ""a"": [891961.2003868124, -10888.798827746865, -3563.9941404653737]}"
32,"{""X"": [[68.71652777777777, 39.55152777777778], [68.71236111111111, 39.55152777777778], [68.71236111111111, 39.55569444444445], [68.71652777777777, 39.55569444444445]], ""w"": [207991.14876274383, -207991.1487631325, 207991.1487624573, -207991.14876206868], ""a"": [419393.0398110457, 10032.01171876565, -27960.000000023338]}"
33,"{""X"": [[68.72069444444443, 39.55152777777778], [68.71652777777777, 39.55152777777778], [68.71652777777777, 39.55569444444445], [68.72069444444443, 39.55569444444445]], ""w"": [-239750.82249785846, 239750.82249785424, -239750.82249786158, 239750.82249786583], ""a"": [581751.2986108952, 7563.603515643265, -27776.39648436698]}"
34,"{""X"": [[68.72208333333333, 39.55152777777778], [68.72069444444443, 39.55152777777778], [68.72069444444443, 39.55569444444445], [68.72208333333333, 39.55569444444445]], ""w"": [1244669.2384265254, -1244669.2384274206, 1244669.2384227533, -1244669.238421858], ""a"": [-619628.5840678334, 25329.550781061764, -28269.60937482615]}"
35,"{""X"": [[68.58736111111111, 39.547361111111115], [68.58319444444444, 39.547361111111115], [68.58319444444444, 39.55152777777778], [68.58736111111111, 39.55152777777778]], ""w"": [3813791.01710036, -3813791.0170970242, 3813791.01710281, -3813791.0171061456], ""a"": [217964.05120711206, -15591.591796635172, 21601.201172111396]}"
